kata
317
330
403
405
414
417
424
428
434
435
440
442
442
444
496
498
503
508
510
511
512
515
519
519
523
524
525
525
526
526
527
527
529
529
531
531
532
533
534
536
538
538
541
542
543
555
556
559
564
610
614
616
621
625
626
626
627
627
632
634
636
636
638
641
643
643
643
644
646
647
649
651
651
654
655
657
657
660
663
667
719
734
738
739
740
742
746
752
755
756
761
770
846
848
848
852
856
867
875
961
