kata
7192
7211
11919
13116
22119
31219
79269
79269
111201
119119
121014
139199
181169
311619
353111
497920
721457
816112
1011914
1017120
1021189
1112096
1119418
1136929
1212512
1313113
1618113
1618920
1654119
1812691
1912119
2114201
5129205
6152015
6181191
6972118
7512149
9132121
9141916
9144181
11129514
11152159
11420185
11522114
12012520
13211291
14575189
15210511
16112513
16911918
19112120
20181569
21201147
26113114
41620118
45201912
61512915
72122111
101423112
111185141
111189518
115451219
125132116
131191094
151326520
162120181
162120189
181161518
418211221
421189114
711410112
751492119
811472119
851816519
911812119
1111411518
1118512096
1161520511
1182056111
1311420181
1415131518
1651419912
1819991115
1911411199
1911920181
5111911518
6151441199
6151813112
6151961518
9142051419
10211491518
13514205189
14221511120
16181143919
21811411119
31511512120
45205197514
65218211189
89192015189
91316151820
